movie_key,tmdb_id,imdb_id,wikidata_qid,original_title,runtime_minutes,original_language,overview,poster_path,homepage,tagline,status,tmdb_popularity,tmdb_vote_average,tmdb_vote_count
mov_tmdb_18823,18823,tt0800320,Q192979,Clash of the Titans,106,en,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",/6iHYLipwEyZUPNO8MM3l1yHDaFE.jpg,http://www.clash-of-the-titans.com/,The clash begins.,Released,6.7111,5.925,6724
mov_tmdb_10140,10140,tt0980970,Q474082,The Chronicles of Narnia: The Voyage of the Dawn Treader,113,en,"This time around Edmund and Lucy Pevensie, along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world.",/pP27zlm9yeKrCeDZLFLP2HKELot.jpg,,Return to magic. Return to hope. Return to Narnia.,Released,6.282,6.443,5931
mov_tmdb_45269,45269,tt1504320,Q160060,The King's Speech,118,en,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",/pVNKXVQFukBaCz6ML7GH3kiPlQP.jpg,http://www.kingsspeech.com/,Find your voice.,Released,8.222,7.734,9350
mov_tmdb_20526,20526,tt1104001,Q18954,TRON: Legacy,126,en,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",/8Nc6R8k7bG8frSiDJo0oLucF7dN.jpg,https://movies.disney.com/tron-legacy,The game has changed.,Released,11.1503,6.546,7991
mov_tmdb_38575,38575,tt1155076,Q327685,The Karate Kid,140,en,"12-year-old Dre Parker could've been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",/b1RBy3l297N0c7PHjlz35cClWju.jpg,https://www.sonypictures.com/movies/thekaratekid,A challenge he never imagined. A teacher he never expected.,Released,9.9361,6.569,6600
mov_tmdb_9543,9543,tt0473075,Q245172,Prince of Persia: The Sands of Time,116,en,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",/siNGMLdOUNYLEGtlsnmQcpO2XZX.jpg,https://movies.disney.com/prince-of-persia-the-sands-of-time,Defy the Future,Released,5.9887,6.307,7209
mov_tmdb_44214,44214,tt0947798,Q180214,Black Swan,108,en,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake.""",/viWheBd44bouiLCHgNMvahLThqx.jpg,https://www.searchlightpictures.com/blackswan,"""I just want to be perfect.""",Released,11.2529,7.685,15634
mov_tmdb_38055,38055,tt1001526,Q81205,Megamind,96,en,"After Megamind, a highly intelligent alien supervillain, defeats his long-time nemesis Metro Man, Megamind creates a new hero to fight, but must act to save the city when his ""creation"" becomes an even worse villain than he was.",/uZ9ytt3sPTx62XTfN56ILSuYWRe.jpg,http://www.megamind.com,A superhero movie with a mind of its own.,Released,12.0185,7.032,7523
mov_tmdb_20662,20662,tt0955308,Q223559,Robin Hood,140,en,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",/kE4Wie1VVRGQbVSIsEnxmly3FqZ.jpg,http://robinhoodthemovie.com,"Rise and rise again, until lambs become lions",Released,6.4007,6.401,5044
mov_tmdb_10196,10196,tt0938283,Q11593,The Last Airbender,103,en,"A century has passed since the Fire Nation declared war on the other three nations of air, water, and earth in its attempt for global domination. Aang, the long-lost Avatar, is found by Water Tribe siblings Katara and Sokka and must learn to master water, earth, and fire bending to defeat the Fire Nation and restore balance to the world.",/kl9JJ8288bNsY8oqT1SpQh1w2mb.jpg,,"Four nations, one destiny.",Released,12.9581,4.649,4287
mov_tmdb_39451,39451,tt0970866,Q921985,Little Fockers,98,en,"It has taken 10 years, two little Fockers with wife Pam and countless hurdles for Greg to finally get in with his tightly wound father-in-law, Jack. After the cash-strapped dad takes a job moonlighting for a drug company, Jack's suspicions about his favorite male nurse come roaring back. When Greg and Pam's entire clan descends for the twins' birthday party, Greg must prove to the skeptical Jack that he's fully capable as the man of the house.",/90mwPRNMmX9RUGVgKMJMJNQnYX8.jpg,,"Kids bring everyone closer, right?",Released,3.6217,5.659,3468
mov_tmdb_35791,35791,tt1220634,Q324557,Resident Evil: Afterlife,97,en,"In a world ravaged by a virus infection, turning its victims into the Undead, Alice continues on her journey to find survivors and lead them to safety. Her deadly battle with the Umbrella Corporation reaches new heights, but Alice gets some unexpected help from an old friend. A new lead that promises a safe haven from the Undead takes them to Los Angeles, but when they arrive the city is overrun by thousands of Undead - and Alice and her comrades are about to step into a deadly trap.",/nYPc4sJdCZLY7YFYUmqXXYt3luH.jpg,http://www.sonypictures.com/movies/residentevilafterlife/site/,Experience a new dimension of evil.,Released,0.2853,6.054,4228
mov_tmdb_11324,11324,tt1130884,Q210364,Shutter Island,138,en,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",/nrmXQ0zcZUL8jFLrakWc90IR8z9.jpg,http://www.shutterisland.com/,Someone is missing.,Released,15.6348,8.198,25996
mov_tmdb_27576,27576,tt0944835,Q628139,Salt,100,en,"As a CIA officer, Evelyn Salt swore an oath to duty, honor, and country. Her loyalty will be tested when a Russian defector accuses her of being a Russian sleeper spy. She goes on the run, using all her skills and years of experience as a covert operative to elude capture, protect her husband, and stay one step ahead of her colleagues at the CIA. Her efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?""",/ppXyhOe8UCEOrBRSYqE3SkHwrcR.jpg,https://www.sonypictures.com/movies/salt,Who is Salt?,Released,5.2777,6.42,5964
mov_tmdb_37786,37786,tt1261945,Q739502,Sex and the City 2,146,en,"Carrie, Charlotte, and Miranda are all married now, but they're still up for a little fun in the sun. When Samantha gets the chance to visit one of the most extravagant vacation destinations on the planet and offers to bring them all along, they surmise that a women-only retreat may be the perfect excuse to eschew their responsibilities and remember what life was like before they decided to settle down.",/iHSRxhZsPaVuLCivvV6WEkMVGWU.jpg,http://www.sexandthecitymovie.com/,Carrie on.,Released,5.4095,6.047,1740
mov_tmdb_37710,37710,tt1243957,Q629975,The Tourist,103,en,"American tourist Frank meets mysterious British woman Elise on the train to Venice. Romance seems to bud, but there's more to her than meets the eye.",/qwfUH9gnvaXwvVRsgbL4L2jpLUz.jpg,http://thetourist-movie.com/,It all started when he met a woman.,Released,3.7281,6.184,5777
mov_tmdb_27578,27578,tt1320253,Q206374,The Expendables,103,en,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert Yin Yang, heavy weapons specialist Hale Caesar, demolitionist Toll Road, and a loose-cannon sniper Gunner Jensen. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",/j09ZkH6R4JWVylBcDai1laCmGw7.jpg,http://expendablesthemovie.com/,Choose your weapon.,Released,8.7072,6.252,8335
mov_tmdb_38365,38365,tt1375670,Q121810,Grown Ups,102,en,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",/cQGM5k1NtU85n4TUlrOrwijSCcm.jpg,http://www.grownups-movie.com/,Boys will be boys. . . some longer than others.,Released,15.7488,6.425,6742
mov_tmdb_37834,37834,tt1013743,Q679918,Knight and Day,109,en,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",/phhp52CZZJiGYmiOTp9ZBDkGHB3.jpg,,Every Hit Man Deserves a Second Shot!,Released,5.367,6.233,4930
mov_tmdb_44264,44264,tt1403865,Q326114,True Grit,110,en,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.",/tCrB8pcjadZjsDk7rleGJaIv78k.jpg,http://www.truegritmovie.com/,Punishment comes one way or another.,Released,4.3141,7.3,5782
mov_tmdb_38745,38745,tt1320261,Q1320997,Gulliver's Travels,85,en,"Travel writer Lemuel Gulliver takes an assignment in Bermuda, but ends up on the island of Liliput, where he towers over its tiny citizens.",/6NoEtuTwZ04luk5H2DpT5ivW7Mg.jpg,,Black is the new big.,Released,3.2889,5.222,2568
mov_tmdb_32657,32657,tt0814255,Q244333,Percy Jackson & the Olympians: The Lightning Thief,118,en,"Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world.",/brzpTyZ5bnM7s53C1KSk1TmrMO6.jpg,,Worlds collide.,Released,9.2138,6.214,7855
mov_tmdb_37799,37799,tt1285016,Q185888,The Social Network,121,en,"In 2003, Harvard undergrad and computer programmer Mark Zuckerberg begins work on a new concept that eventually turns into the global social network known as Facebook. Six years later, Mark is one of the youngest billionaires ever, but his unprecedented success leads to both personal and legal complications when he ends up on the receiving end of two lawsuits, one involving his former friend.",/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,https://www.sonypictures.com/movies/thesocialnetwork,You don't get to 500 million friends without making a few enemies.,Released,10.4838,7.374,13241
mov_tmdb_32856,32856,tt0817230,Q244975,Valentine's Day,125,en,Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.,/qOTcfD2DdnOTmhH0r1TOE09VvNh.jpg,http://www.valentinesdaymovie.com/,A love story. More or less.,Released,3.9019,5.928,3185
mov_tmdb_27022,27022,tt0963966,Q477865,The Sorcerer's Apprentice,109,en,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",/b5pIUsGll0418NyfNA5eYCI9aoK.jpg,http://disney.go.com/disneypictures/sorcerersapprentice/,It's the coolest job ever.,Released,4.9491,6.145,5298
mov_tmdb_41733,41733,tt1231583,Q569941,Due Date,95,en,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",/sBxWS09pOOyXZ0dcnqfqqCAQGan.jpg,http://duedatemovie.warnerbros.com/,Leave your comfort zone.,Released,3.8632,6.397,5853
mov_tmdb_38167,38167,tt0879870,Q304030,Eat Pray Love,133,en,"A married woman realizes how unhappy her marriage really is, and that her life needs to go in a different direction. After a painful divorce, she takes off on a round-the-world journey to ""find herself"".",/gjR5zUeMGV6UNqtI0OuzqrLQcjU.jpg,http://www.sonypictures.com/movies/eatpraylove/,Let yourself go.,Released,5.1382,6.248,2646
mov_tmdb_41515,41515,tt1302067,Q570271,Yogi Bear,80,en,"A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear, his sidekick Boo-Boo, and Ranger Smith.",/5u6kGhqKVorNwcvz6zETWUPRmus.jpg,http://www.yogibear.com/,Life's a pic-a-nic.,Released,4.1972,5.57,947
mov_tmdb_39514,39514,tt1245526,Q858842,RED,111,en,"After surviving an assault from a squad of hit men, retired CIA black ops agent Frank Moses reassembles his old team for an all-out war. Frank reunites with old Joe, crazy Marvin and wily Victoria to uncover a massive conspiracy that threatens their lives. Only their expert training will allow them to survive a near-impossible mission -- breaking into CIA headquarters.",/8eeK3OB5PeSRQD7BpZcGZKkehG.jpg,,Still armed. Still dangerous. Still got it.,Released,6.6353,6.706,7178
mov_tmdb_41436,41436,tt1536044,Q912082,Paranormal Activity 2,91,en,"Just as Daniel and Kristi welcome a newborn baby into their home, a demonic presence begins terrorizing them, tearing apart their perfect world and turning it into an inescapable nightmare.",/gfdrkBZAyUUXJJ2iLQe03SAYRD3.jpg,http://www.paranormalmovie.com/trailer/,In 2009 you demanded it. Nothing can prepare you for what's next.,Released,2.4484,5.796,2655
mov_tmdb_34544,34544,tt0429493,Q471746,The A-Team,117,en,"A man who loves when a plan comes together, Col. Hannibal Smith leads a close-knit team of elite operatives and Iraq War veterans. Framed for a crime they didn't commit, Smith and his men, Capt. H.M. ‘Howling Mad’ Murdock , Sgt. Bosco ‘B.A.’ Baracus, and Lt. Templeton ‘Faceman’ Peck, break out and go rogue, using their special talents to clear their names and find the perpetrator. Hot on their trail is Capt. Charissa Sosa, who was once involved with a member of Smith's team and has sworn to capture them, no matter what it takes.",/bkAWEx5g5tvRPjtDQyvIZ7LRxQm.jpg,https://www.20thcenturystudios.com/movies/the-a-team,There is no plan B.,Released,4.4468,6.422,5033
mov_tmdb_27581,27581,tt1386588,Q376807,The Other Guys,107,en,"Unlike their heroic counterparts on the force, desk-bound NYPD detectives Gamble and Hoitz garner no headlines as they work day to day. When a seemingly minor case turns out to be a big deal, the two cops get the opportunity to finally prove to their comrades that they have the right stuff.",/wNEHNqo3MgHmj3BUiPSqqq5czcm.jpg,https://www.sonypictures.com/movies/theotherguys,NY's finest were busy.,Released,6.2815,6.331,4607
mov_tmdb_44048,44048,tt0477080,Q644276,Unstoppable,98,en,"When a massive, unmanned locomotive roars out of control, the threat is more ominous than just a derailment. The train is laden with toxic chemicals, and an accident would decimate human life and cause an environmental disaster. The only hope of bringing the train to a safe stop is in the hands of veteran engineer Frank Barnes, and young conductor Will Colson, who must risk their lives to save those in the runaway's path. Inspired by true events.",/zKvHwL0GqLOear8rTnUPSTRYY0r.jpg,,"1,000,000 tons. 100,000 lives. 100 minutes.",Released,4.6549,6.622,3932
mov_tmdb_41233,41233,tt1193631,Q81037,Step Up 3D,107,en,"A tight-knit group of New York City street dancers, including Luke and Natalie, team up with NYU freshman Moose, and find themselves pitted against the world's best hip-hop dancers in a high-stakes showdown that will change their lives forever.",/rPcqa5TZ7S63RNmCuY45ZizFBen.jpg,http://stepupmovie.com,Two worlds. One dream.,Released,3.1762,6.8,2016
mov_tmdb_20504,20504,tt1037705,Q274529,The Book of Eli,118,en,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",/1H1y9ZiqNFaLgQiRDDZLA55PviW.jpg,,Some will kill to have it. He will kill to protect it.,Released,6.6715,6.805,6728
mov_tmdb_23168,23168,tt0840361,Q725539,The Town,125,en,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",/3NIzyXkfylsjflRKSz8Fts3lXzm.jpg,http://thetownmovie.warnerbros.com/,Welcome to the bank robbery capital of America.,Released,8.108,7.225,5686
mov_tmdb_28510,28510,tt1288403,Q1466178,Universal Soldier: Regeneration,97,en,"When terrorists threaten nuclear catastrophe at Chernobyl, the world's only hope is to reactivate decommissioned Universal Soldier Luc Deveraux. Rearmed and reprogrammed, Deveraux must take on his nemesis from the original Universal Soldier and a next-generation ""UniSol"" that seems almost unstoppable.",/hYLzRwCcCyTVKGBRAiHEW7NOEni.jpg,,Reanimated. Rearmed. The ultimate rematch,Released,1.5601,5.662,496
mov_tmdb_35056,35056,tt1279935,Q1139801,Date Night,88,en,"Phil and Claire Foster fear that their mild-mannered relationship may be falling into a stale rut. During their weekly date night, their dinner reservation leads to their being mistaken for a couple of thieves—and now a number of unsavoury characters want Phil and Claire killed.",/9ftaHHJW2IrtnGbazdn5SP8V7Cf.jpg,,One ordinary couple. One little white lie.,Released,2.7736,6.119,3081
mov_tmdb_51739,51739,tt1568921,Q699835,借りぐらしのアリエッティ,94,ja,"14-year-old Arrietty and the rest of the Clock family live in peaceful anonymity as they make their own home from items ""borrowed"" from the house's human inhabitants. However, life changes for the Clocks when a human boy discovers Arrietty.",/3lSRaSjDp2nkXMQkzzjpRi3035O.jpg,http://disney.go.com/official-sites/arrietty/index,Discover a secret world within our own.,Released,5.4369,7.671,3199
mov_tmdb_7978,7978,tt0780653,Q205532,The Wolfman,103,en,"Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.",/fQqPoAHvHicie1ttuiV2q0yv9V7.jpg,http://www.thewolfmanmovie.com/,"When the moon is full, the legend comes to life.",Released,4.2097,5.888,2197
mov_tmdb_41216,41216,tt1219342,Q622763,Legend of the Guardians: The Owls of Ga'Hoole,97,en,"When a young owl is abducted by an evil Owl army, he must escape with new-found friends and seek the legendary Guardians to stop the menace.",/qweKCtPdnIP2uGp1PgWZyCV7gzj.jpg,https://www.warnerbros.com/legend-guardians-owls-gahoole,On his way to finding a legend...he will become one.,Released,4.933,6.834,2497
mov_tmdb_27573,27573,tt1038919,Q741737,The Bounty Hunter,110,en,"Milo Boyd, a down-on-his-luck bounty hunter, thinks he's seeing an upswing in fortune when he gets a call to bring in his bail-jumping ex-wife, a reporter named Nicole. Milo considers the job an easy payday, but Nicole quickly escapes to chase a lead on a murder case. The former spouses play an escalating game of one-upmanship, until they suddenly find themselves on the run for their lives.",/fJPKar0jnAsS09l3xfP6LL8sUkX.jpg,,"It's a Job. It Isn't Personal. Well, Maybe a Little...",Released,3.0617,5.846,3072
mov_tmdb_41439,41439,tt1477076,Q676284,Saw 3D,90,en,"As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror.",/qHCZ6LjtmqWDfXXN28TlIC9OppK.jpg,https://www.lionsgate.com/movies/saw-the-final-chapter,The traps come alive.,Released,4.9214,5.979,3322
mov_tmdb_33909,33909,tt1027718,Q326526,Wall Street: Money Never Sleeps,133,en,"As the global economy teeters on the brink of disaster, a young Wall Street trader partners with disgraced former Wall Street corporate raider Gordon Gekko on a two tiered mission: To alert the financial community to the coming doom, and to find out who was responsible for the death of the young trader's mentor.",/gtonVdZZMWES6GyhasAX0xhUdrF.jpg,http://www.wallstreetmoneyneversleeps.com/,Gordon never gives up.,Released,2.3853,6.094,1707
mov_tmdb_45317,45317,tt0964517,Q323472,The Fighter,116,en,"Boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime.",/xfsFerGhO1h6rLk8vwLgMyQ8WVJ.jpg,http://www.thefightermovie.com,Every dream deserves a fighting chance.,Released,4.2323,7.379,4744
mov_tmdb_34851,34851,tt1424381,Q380667,Predators,107,en,A group of cold-blooded killers find themselves trapped on an alien planet to be hunted by extraterrestrial Predators.,/wdniP8NDaJIydi1hMxhpbJMUfr6.jpg,https://www.20thcenturystudios.com/movies/predators,They are the most dangerous killers on the planet. But this is not our planet.,Released,6.8617,6.303,4669
mov_tmdb_16290,16290,tt1116184,Q1066098,Jackass 3D,94,en,"Johnny Knoxville, Bam Margera, Steve-O, Wee Man and the rest of their fearless and foolhardy friends take part in another round of outrageous pranks and stunts. In addition to standing in the path of a charging bull, launching themselves into the air and crashing through various objects, the guys perform in segments such as ""Sweatsuit Cocktail,"" ""Beehive Tetherball"" and ""Lamborghini Tooth Pull.""",/uPirN07su7LFixyZyLrNMMQ9u1E.jpg,,3 Times the Laughs. 3 Times the Stupid. 3 Times the Pain.,Released,4.1852,6.621,1478
mov_tmdb_23437,23437,tt1179056,Q300508,A Nightmare on Elm Street,95,en,"Teenagers Nancy, Quentin, Kris, Jesse and Dean are all neighborhood friends who begin having the same dream of a horribly disfigured man who wears a tattered sweater and a glove made of knives. The man terrorizes them in their dreams, and the only escape is to wake up. But when, one by one, they start dying violently, the friends realize that what happens in the dream world is real, and the only way to stay alive is to stay awake.",/nsmW28GcNabCUZfP5YtUEe8Li0f.jpg,http://www.nightmareonelmstreet.com/,Welcome to your new nightmare.,Released,4.7891,5.522,2933
mov_tmdb_22971,22971,tt0989757,Q867138,Dear John,108,en,"While Sergeant John Tyree is home on two weeks leave from Germany, he meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off a pier. John eventually falls in love with Savannah, who promises to write to him until he returns from overseas.",/2lAPv2jQ5eh54l4EttA9wjDljED.jpg,,Love brought them together. Will fate tear them apart?,Released,3.0554,6.835,4302
mov_tmdb_39691,39691,tt1287468,Q959335,Cats & Dogs: The Revenge of Kitty Galore,82,en,The ongoing war between the canine and feline species is put on hold when they join forces to thwart a rogue cat spy with her own sinister plans for conquest.,/syV2naEnz7wbakOOk7XanPX8MjL.jpg,http://catsanddogsmovie.warnerbros.com/,Just like real spies... only furrier.,Released,2.4334,5.21,694
mov_tmdb_23023,23023,tt0808510,Q143605,Tooth Fairy,101,en,"When minor-league hockey player Derek Thompson -- who has a penchant for knocking out his opponents' teeth every time he plays -- disillusions a fan, he is sentenced to a stint for one week as a bona fide, tutu-clad, real-life tooth fairy. Soon, Derek is inspired to rekindle his youthful dreams.",/cRZvw3bPomtucIUtMHZ3qPIYtYs.jpg,,You can't handle the tooth.,Released,3.2432,5.488,2115
mov_tmdb_44603,44603,tt1212419,Q185490,Hereafter,129,en,"Three people — a blue-collar American, a French journalist and a London school boy — are touched by death in different ways.",/nOy0X8XSmSDOuwV8pqT70WoWHwT.jpg,http://hereafter.warnerbros.com/,Touched by death. Changed by life.,Released,2.4002,6.147,1821
mov_tmdb_38408,38408,tt1055292,Q860734,Life As We Know It,114,en,"After a disastrous first date for caterer Holly and network sports director Messer, all they have in common is a dislike for each other and their love for their goddaughter Sophie. But when they suddenly become all Sophie has in this world, Holly and Messer must set their differences aside. Juggling careers and social calendars, they'll have to find common ground while living under the same roof.",/zLzS2aOqKsS0QvEaY6SfBw4VBqh.jpg,,A comedy about taking it one step at a time.,Released,2.8977,6.895,3299
